GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.reader,SpringDataPagingItemReader,76,0,6,0,18,0,7,0,4,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.processor,ConverterItemProcessor,14,0,0,0,5,0,2,0,2,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.service.impl,BatchCleanupServiceImpl,203,0,8,0,30,0,10,0,6,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.service.impl,JobServiceImpl,479,31,19,1,90,11,18,3,8,3
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.service.impl,BatchCleanupServiceImpl.JobExecution,15,0,0,0,6,0,3,0,3,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.writer,SpringDataItemWriter,52,0,6,0,12,0,6,0,3,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.config,TaskExecutorBatchConfigurer,30,0,0,0,10,0,3,0,3,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.config,BatchConfig,46,0,0,0,13,0,4,0,4,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.handler.impl,FailedJobExecutionLoggerHandler,14,0,0,0,5,0,4,0,4,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.tasklet,SpringBatchDatabaseCleanUpTasklet.JobExecution,15,0,0,0,6,0,3,0,3,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.tasklet,SpringBatchDatabaseCleanUpTasklet,214,0,8,0,32,0,10,0,6,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.util,DateUtil,12,68,3,1,4,20,4,4,2,4
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.model,ParameterType,39,0,0,0,4,0,2,0,2,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.model,SimpleStep,184,0,2,0,72,0,45,0,44,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.model,Job,112,0,2,0,44,0,27,0,26,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.model,Parameter,43,0,0,0,16,0,10,0,10,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.converter,StepExecutionToSimpleStepConverter,65,0,2,0,18,0,4,0,3,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.converter,JobExecutionToJobConverter,120,0,12,0,28,0,11,0,5,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.listener,FailIfSkippedJobExecutionListener,26,0,4,0,8,0,4,0,2,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.listener,BatchJobRestart,41,0,0,0,12,0,4,0,4,0
spring-batch-support-samples-web/spring-batch-support,com.namics.oss.spring.support.batch.listener,FailedJobExecutionListener,137,0,12,0,22,0,9,0,3,0
spring-batch-support-samples-web/spring-batch-support-web,com.namics.oss.spring.support.batch.web.bean,JobParameterType,39,0,0,0,4,0,2,0,2,0
spring-batch-support-samples-web/spring-batch-support-web,com.namics.oss.spring.support.batch.web.bean,JobParameterBean,39,0,0,0,16,0,10,0,10,0
spring-batch-support-samples-web/spring-batch-support-web,com.namics.oss.spring.support.batch.web.controller,JobDataController,97,0,10,0,24,0,11,0,6,0
spring-batch-support-samples-web/spring-batch-support-web,com.namics.oss.spring.support.batch.web.config,SpringBatchSupportWebServletConfig,92,0,0,0,13,0,5,0,5,0
